col_0,col_1
222.0,-1570.0
-431.0,-845.0
-237.0,-114.0
-353.0,484.0
281.0,-38.0
616.0,0.0
755.0,-718.0
-343.0,213.0
167.0,0.0
362.0,81.0
-75.0,443.0
69.0,282.0
-43.0,568.0
-414.0,380.0
592.0,573.0
650.0,730.0
814.0,463.0
-535.0,723.0
-1342.0,174.0
-1822.0,72.0
-1926.0,140.0
-2767.0,75.0
-2574.0,-95.0
-3452.0,54.0
-4060.0,778.0
-4615.0,64.0
-7532.0,4250.0
-11090.0,7698.0
-12462.0,10353.0
-15078.0,12072.0
-15179.0,12581.0
-14406.0,13124.0
-12085.0,17011.0
-11445.0,19102.0
-8944.0,22709.0
-8230.0,26778.0
1096.0,36806.0
8841.0,43277.0
23387.0,53442.0
37599.0,60618.0
44575.0,64495.0
58332.0,69159.0
64065.0,71275.0
80428.0,77435.0
90042.0,82004.0
96610.0,84206.0
98425.0,84780.0
102800.0,86180.0
106417.0,86885.0
110870.0,87320.0
113119.0,86891.0
112565.0,86067.0
110019.0,83473.0
109010.0,81822.0
107287.0,80497.0
99443.0,78220.0
88280.0,75250.0
80333.0,72292.0
70478.0,67878.0
66676.0,66138.0
59786.0,63955.0
54344.0,61353.0
50429.0,59773.0
46106.0,57413.0
44655.0,56910.0
42212.0,55689.0
41088.0,54526.0
37202.0,51605.0
34162.0,49152.0
30710.0,45715.0
26626.0,43762.0
18009.0,39244.0
13054.0,37076.0
7619.0,35237.0
4327.0,33887.0
-2019.0,31392.0
-6829.0,29352.0
-11884.0,27070.0
-17762.0,24364.0
-21159.0,22887.0
-23078.0,21311.0
-24517.0,21124.0
-26220.0,20770.0
-27580.0,19972.0
-28369.0,18494.0
-29346.0,17419.0
-30735.0,16164.0
-30867.0,15515.0
-30749.0,15930.0
-31353.0,15417.0
-31171.0,15547.0
-31326.0,15717.0
-31116.0,15801.0
-31290.0,15980.0
-31198.0,15851.0
-31406.0,15765.0
-31661.0,15773.0
-31976.0,16106.0
-31523.0,16541.0
-31632.0,16143.0
-31297.0,16409.0
